Inlet,-155.21519600403033,91.75706235812868,10
B2,-107.36154092367836,101.02276852033812,5
B1,-105.22541766102728,302.7501886195872,5
S1,735.1295251761976,310.8134064860217,10
AS,986.2541403601169,450.9726286076265,0
S2,-116.9799265685637,669.2576295251607,13
S3,-591.7142076548928,653.819279836828,29
S4,-844.0800928468118,1061.725533678043,43
WT,-1165.5608174361455,846.9036501991295,75
S5,-105.79537703639565,-381.99207921933436,6
S6,164.51235002184006,-426.84390397186297,0
B3,99.48216951820045,-714.3967664664876,7
KU,220.8265059094401,-825.8940592423189,25
S7,207.0360222969298,-681.6254544699773,8
S8,455.4222518032155,-741.9900046459893,16
STJ,542.2696110460687,-800.279879812343,18